monster_id,monster_name
1,Tyrra
2,Tyran
3,Tyrannos
4,Firedragon Tyrannos
5,Plessie
6,Plesiel
7,Plesios
8,Icedragon Plesios
9,Brachy
10,Brachio
11,Brachys
12,Flowerdragon Brachys
13,Pterra
14,Pteras
15,Pterados
16,Sundragon Pterados
17,Spinon
18,Spinas
19,D'spinas
20,Moondragon D'spinas
21,Lil' Red Dragon
22,Red Dragon
23,Volcano Dragon
24,Lil' Blue Dragon
25,Blue Dragon
26,Aurora Dragon
27,Lil' Green Dragon
28,Green Dragon
29,Earth Dragon
30,Lil' White Dragon
31,White Dragon
32,Holy Dragon
33,Lil' Black Dragon
34,Black Dragon
35,Devil Dragon
36,Flamie
37,Big Flamie
38,Bubblie
39,Big Bubblie
40,Woodsie
41,Big Woodsie
42,Shynee
43,Big Shynee
44,Baddie
45,Big Baddie
46,Red Carbuncle
47,Ruby Carbuncle
48,Blue Carbuncle
49,Sapphire Carbuncle
50,Green Carbuncle
51,Emerald Carbuncle
52,Yellow Carbuncle
53,Topaz Carbuncle
54,Purple Carbuncle
55,Amethyst Carbuncle
56,Red Goblin
57,Samurai Goblin
58,Blue Goblin
59,Marine Goblin
60,Goblin
61,Hobgoblin
62,Red Ogre
63,Samurai Ogre
64,Blue Ogre
65,Ice Ogre
66,Ogre
67,Armor Ogre
68,Flame Fighter
69,Flame Knight
70,Aqua Fighter
71,Aqua Knight
72,Earth Fighter
73,Earth Knight
74,White Fighter
75,White Knight
76,Black Fighter
77,Black Knight
78,Flame Golem
79,Flame Guardian
80,Ice Golem
81,Ice Guardian
82,Earth Golem
83,Earth Guardian
84,Machine Golem
85,Machine Golem Mk.II
86,Dark Golem
87,Dark Golem Mk.II
88,Naga
89,Echidna
90,Mermaid
91,Siren
92,Dryad
93,Mandrake
94,Cupid
95,Angel
96,Succubus
97,Lilith
98,Mystic Flame Knight
99,Phoenix Knight
100,Mystic Ice Knight
101,Fenrir Knight
102,Mystic Stone Knight
103,Dragon Knight
104,Mystic Light Knight
105,Verche
106,Titan
107,Gigas
108,Mystic Dark Knight
109,Dark Dragon Knight
110,Vampire
111,Vampire Lord
112,Salamander
113,Ifrit
114,Sea Serpent
115,Leviathan
116,Dragonette
117,Fafnir
118,Ivory Dragon
119,Divinegon
120,Basilisk
121,Tiamat
122,Minerva
123,War Deity Minerva
124,Neptune
125,Sea Deity Neptune
126,Ceres
